subject,qform_code,sform_code
sub-AD01,1,2
sub-AD02,1,2
sub-AD03,1,2
sub-AD04,1,2
sub-AD05,1,2
sub-AD06,1,2
sub-AD07,1,2
sub-AD08,1,2
sub-AD09,1,2
sub-AD10,0,0
sub-AD11,1,2
sub-AD12,1,2
sub-AD13,1,2
sub-AD14,1,2
sub-AD15,1,2
sub-AD16,1,2
sub-AD17,1,2
sub-AD18,1,2
sub-AD19,1,2
sub-AD20,1,2
sub-AD21,1,2
sub-AD22,1,2
sub-AD23,0,0
sub-AD24,1,2
sub-AD25,1,2
sub-AD26,1,2
sub-AD27,0,0
sub-AD28,1,2
sub-AD29,1,2
sub-AD30,1,2
sub-AD31,1,2
sub-AD32,1,2
sub-AD33,1,2
sub-AD34,1,2
sub-AD35,0,0
sub-AD36,1,2
sub-AD37,0,0
sub-AD38,1,2
sub-AD39,1,2
sub-AD40,1,2
sub-AD41,0,0
sub-AD42,1,2
sub-AD43,1,2
sub-AD44,1,2
sub-AD45,0,0
sub-YC101,1,2
sub-YC102,1,2
sub-YC103,1,2
sub-YC104,1,2
sub-YC105,1,2
sub-YC106,1,2
sub-YC107,1,2
sub-YC108,1,2
sub-YC109,1,2
sub-YC110,1,2
sub-YC111,1,2
sub-YC112,1,2
sub-YC113,1,2
sub-YC114,1,2
sub-YC115,1,2
sub-YC116,1,2
sub-YC117,1,2
sub-YC118,1,2
sub-YC119,1,2
sub-YC120,1,2
sub-YC121,1,2
sub-YC122,1,2
sub-YC123,1,2
sub-YC124,1,2
sub-YC125,1,2
sub-YC126,1,2
sub-YC127,1,2
sub-YC128,1,2
sub-YC129,1,2
sub-YC130,1,2
sub-YC131,1,2
sub-YC132,1,2
sub-YC133,1,2
sub-YC134,1,2
