participant_id,max_ram_gb,cpu_usage_percent,disk_space_gb
sub-YC106,3.0 (range 2.2-3.0),not_measured,46
sub-YC107,3.0 (range 2.2-3.0),not_measured,46
sub-YC108,3.0 (range 2.2-3.0),not_measured,46
sub-YC109,3.0 (range 2.2-3.0),not_measured,46
sub-YC110,3.0 (range 2.2-3.0),not_measured,46
sub-YC113,3.0 (range 2.2-3.0),not_measured,46
sub-YC115,3.0 (range 2.2-3.0),not_measured,46
sub-YC116,3.0 (range 2.2-3.0),not_measured,46
sub-YC117,3.0 (range 2.2-3.0),not_measured,46
sub-YC118,3.0 (range 2.2-3.0),not_measured,46
sub-YC119,3.0 (range 2.2-3.0),not_measured,46
sub-YC120,3.0 (range 2.2-3.0),not_measured,46
sub-YC121,3.0 (range 2.2-3.0),not_measured,46
sub-YC122,3.0 (range 2.2-3.0),not_measured,46
sub-YC123,3.0 (range 2.2-3.0),not_measured,46
sub-YC124,3.0 (range 2.2-3.0),not_measured,46
sub-YC126,3.0 (range 2.2-3.0),not_measured,46
sub-YC128,3.0 (range 2.2-3.0),not_measured,46
sub-YC130,3.0 (range 2.2-3.0),not_measured,46
sub-YC131,3.0 (range 2.2-3.0),not_measured,46 (redone)
sub-YC133,3.0 (range 2.2-3.0),not_measured,46
sub-YC134,3.0 (range 2.2-3.0),not_measured,46
sub-YC103,4.1 (range 4.1-4.8),not_measured,43
sub-AD26,3.8 (range 2.3-3.8),not_measured,42
sub-AD28,3.8 (range 2.3-3.8),not_measured,42
sub-AD29,3.8 (range 2.3-3.8),not_measured,42 (rerun after write failure)
sub-AD30,3.8 (range 2.3-3.8),not_measured,42
sub-AD31,3.8 (range 2.3-3.8),not_measured,42
sub-AD32,3.8 (range 2.3-3.8),not_measured,42
sub-AD33,3.8 (range 2.3-3.8),not_measured,42
sub-AD34,3.8 (range 2.3-3.8),not_measured,42
sub-AD36,3.8 (range 2.3-3.8),not_measured,42
sub-AD38,3.8 (range 2.3-3.8),not_measured,42
sub-AD39,3.8 (range 2.3-3.8),not_measured,42
sub-AD40,3.8 (range 2.3-3.8),not_measured,42
sub-AD42,3.8 (range 2.3-3.8),not_measured,42
sub-AD43,3.8 (range 2.3-3.8),not_measured,42
sub-AD44,3.8 (range 2.3-3.8),not_measured,42
sub-AD27,5.0 (range 4.0-5.0),not_measured,40
sub-AD35,5.0 (range 4.0-5.0),not_measured,40
sub-AD37,5.0 (range 4.0-5.0),not_measured,40
sub-AD41,5.0 (range 4.0-5.0),not_measured,40
sub-AD45,5.0 (range 4.0-5.0),not_measured,40
sub-AD01,not_recorded,not_recorded,not_recorded
sub-AD02,not_recorded,not_recorded,not_recorded
sub-AD03,not_recorded,not_recorded,not_recorded
sub-AD04,not_recorded,not_recorded,not_recorded
sub-AD05,not_recorded,not_recorded,not_recorded
sub-AD06,not_recorded,not_recorded,not_recorded
sub-AD07,not_recorded,not_recorded,not_recorded
sub-AD08,not_recorded,not_recorded,not_recorded
sub-AD09,3.9,not_measured,34
sub-AD10,4.3 (range 4.1-4.3),not_measured,39
sub-AD11,3.9,not_measured,34
sub-AD12,3.9,not_measured,34
sub-AD13,3.9,not_measured,34
sub-AD14,4.2 (range 3.8-4.2),not_measured,36
sub-AD15,4.2 (range 3.8-4.2),not_measured,36
sub-AD16,4.2 (range 3.8-4.2),not_measured,36
sub-AD17,4.2 (range 3.8-4.2),not_measured,36
sub-AD18,4.2 (range 3.8-4.2),not_measured,36
sub-AD19,4.6 (range 2.8-4.6),not_measured,37
sub-AD20,4.6 (range 2.8-4.6),not_measured,37
sub-AD21,4.6 (range 2.8-4.6),not_measured,37
sub-AD22,4.6 (range 2.8-4.6),not_measured,37
sub-AD23,N/A,N/A,N/A
sub-AD24,4.6 (range 2.8-4.6),not_measured,37
sub-AD25,4.6 (range 2.8-4.6),not_measured,37
sub-YC101,not_recorded,not_recorded,not_recorded
sub-YC102,4.8 (range 3.2-4.8),not_measured,39
sub-YC104,4.8 (range 3.2-4.8),not_measured,39
sub-YC105,4.8 (range 3.2-4.8),not_measured,39
sub-YC111,4.8 (range 3.2-4.8),not_measured,39
sub-YC112,4.8 (range 3.2-4.8),not_measured,39
sub-YC114,4.8 (range 3.2-4.8),not_measured,39
sub-YC125,4.8 (range 3.2-4.8),not_measured,39
sub-YC127,4.8 (range 3.2-4.8),not_measured,39
sub-YC129,4.8 (range 3.2-4.8),not_measured,39
sub-YC132,4.8 (range 3.2-4.8),not_measured,39
