participant_id,start_time,end_time,runtime_minutes,status
sub-AD01,2026-08-03 20:01,2026-08-04 17:23,45.1,Pass
sub-AD02,2026-08-07 23:16,2026-08-07 23:42,8.87,Pass
sub-AD03,2026-08-09 18:28,2026-08-09 18:34,3.88,Pass
sub-AD04,2026-08-10 09:11,2026-08-10 09:44,5.02,Pass
sub-AD05,2026-08-10 09:16,2026-08-10 09:44,4.55,Pass
sub-AD06,2026-08-10 09:20,2026-08-10 09:44,5.28,Pass
sub-AD07,2026-08-10 09:25,2026-08-10 09:44,4.88,Pass
sub-AD08,2026-08-10 09:30,2026-08-10 09:44,4.30,Pass
sub-YC101,2026-08-08 00:47,2026-08-08 00:52,3.50,Pass
sub-AD09,2026-08-10 23:12,2026-08-10 23:43,6.03,Pass
sub-AD10,2026-08-12 23:49,2026-08-12 23:58,9.03,Pass - recovered via DICOM reconversion
sub-AD11,2026-08-10 23:22,2026-08-10 23:43,5.68,Pass
sub-AD12,2026-08-10 23:28,2026-08-10 23:43,5.10,Pass
sub-AD13,2026-08-10 23:33,2026-08-10 23:43,4.85,Pass
sub-AD14,2026-08-11 09:45,2026-08-11 10:18,4.90,Pass
sub-AD15,2026-08-11 09:50,2026-08-11 10:18,5.32,Pass
sub-AD16,2026-08-11 09:55,2026-08-11 10:18,5.18,Pass
sub-AD17,2026-08-11 10:01,2026-08-11 10:18,9.35,Pass
sub-AD18,2026-08-11 10:10,2026-08-11 10:18,4.73,Pass
sub-AD19,2026-08-11 22:20,2026-08-11 22:51,4.43,Pass
sub-AD20,2026-08-11 22:25,2026-08-11 22:51,3.82,Pass
sub-AD21,2026-08-11 22:28,2026-08-11 22:51,3.55,Pass
sub-AD22,2026-08-11 22:32,2026-08-11 22:51,3.28,Pass
sub-AD23,N/A,N/A,N/A,Excluded - flagged pre-processing
sub-AD24,2026-08-11 22:35,2026-08-11 22:51,7.02,Pass
sub-AD25,2026-08-11 22:42,2026-08-11 22:51,4.55,Pass
sub-YC102,2026-08-12 03:29,2026-08-12 04:10,3.83,Pass
sub-YC104,2026-08-12 03:32,2026-08-12 04:10,4.05,Pass
sub-YC105,2026-08-12 03:36,2026-08-12 04:10,3.62,Pass
sub-YC111,2026-08-12 03:40,2026-08-12 04:10,4.60,Pass
sub-YC112,2026-08-12 03:44,2026-08-12 04:10,3.63,Pass
sub-YC114,2026-08-12 03:48,2026-08-12 04:10,4.35,Pass
sub-YC125,2026-08-12 03:52,2026-08-12 04:10,3.65,Pass
sub-YC127,2026-08-12 03:56,2026-08-12 04:10,3.53,Pass
sub-YC129,2026-08-12 04:00,2026-08-12 04:10,3.90,Pass
sub-YC132,2026-08-12 04:03,2026-08-12 04:10,3.85,Pass
sub-AD27,2026-08-13 01:50,2026-08-13 02:11,20.90,Pass
sub-AD35,2026-08-13 01:54,2026-08-13 02:11,16.68,Pass
sub-AD37,2026-08-13 01:57,2026-08-13 02:11,13.15,Pass
sub-AD41,2026-08-13 02:01,2026-08-13 02:11,9.57,Pass
sub-AD45,2026-08-13 02:04,2026-08-13 02:11,6.37,Pass
sub-AD26,2026-08-13 02:41,2026-08-13 09:03,3.72,Pass
sub-AD28,2026-08-13 02:45,2026-08-13 09:03,3.90,Pass
sub-AD29,2026-08-13 09:10,2026-08-13 09:16,3.03,Pass (retry after crash-related corruption)
sub-AD30,2026-08-13 03:31,2026-08-13 09:03,4.72,Pass (post-crash restart)
sub-AD31,2026-08-13 03:35,2026-08-13 09:03,4.95,Pass
sub-AD32,2026-08-13 03:40,2026-08-13 09:03,3.70,Pass
sub-AD33,2026-08-13 03:44,2026-08-13 09:03,4.98,Pass
sub-AD34,2026-08-13 03:49,2026-08-13 09:03,5.25,Pass
sub-AD36,2026-08-13 03:54,2026-08-13 09:03,4.75,Pass
sub-AD38,2026-08-13 03:58,2026-08-13 09:04,4.35,Pass
sub-AD39,2026-08-13 04:03,2026-08-13 09:04,4.55,Pass
sub-AD40,2026-08-13 04:07,2026-08-13 09:04,5.10,Pass
sub-AD42,2026-08-13 04:12,2026-08-13 09:04,4.63,Pass
sub-AD43,2026-08-13 04:17,2026-08-13 09:04,5.07,Pass
sub-AD44,2026-08-13 04:22,2026-08-13 09:04,5.18,Pass
sub-YC103,2026-08-13 21:16,2026-08-13 21:24,7.63,Pass
sub-YC106,2026-08-14 02:49,2026-08-14 09:30,2.60,Pass
sub-YC107,2026-08-14 02:52,2026-08-14 09:30,3.63,Pass
sub-YC108,2026-08-14 02:55,2026-08-14 09:30,4.20,Pass
sub-YC109,2026-08-14 03:00,2026-08-14 09:30,3.28,Pass
sub-YC110,2026-08-14 03:04,2026-08-14 09:30,2.72,Pass
sub-YC113,2026-08-14 03:07,2026-08-14 09:30,3.15,Pass
sub-YC115,2026-08-14 03:10,2026-08-14 09:30,3.42,Pass
sub-YC116,2026-08-14 03:13,2026-08-14 09:30,3.55,Pass
sub-YC117,2026-08-14 03:16,2026-08-14 09:30,5.62,Pass
sub-YC118,2026-08-14 03:22,2026-08-14 09:30,3.28,Pass
sub-YC119,2026-08-14 03:25,2026-08-14 09:30,3.65,Pass
sub-YC120,2026-08-14 03:29,2026-08-14 09:30,3.53,Pass
sub-YC121,2026-08-14 03:32,2026-08-14 09:30,3.75,Pass
