participant_id,coregistration,normalization,mask_alignment,overall
sub-AD01,Pass,Pass,Pass,Pass
sub-AD02,Pass,Pass,Pass,Pass
sub-AD03,Pass,Pass,Pass,Pass
sub-AD04,Pass,Pass,Pass,Pass
sub-AD05,Pass,Pass,Pass,Pass
sub-AD06,Pass,Pass,Pass,Pass
sub-AD07,Pass,Pass,Pass,Pass
sub-AD08,Pass,Pass,Pass,Pass
sub-AD09,Pass,Pass,Pass (SUVR sanity check only),Pass
sub-AD10,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered via DICOM reconversion (see docs/flagged_subjects.md)
sub-AD11,Pass,Pass,Pass (SUVR sanity check only),Pass
sub-AD12,Pass,Pass,Pass (SUVR sanity check only),Pass
sub-AD13,Pass,Pass,Pass (SUVR sanity check only),Pass
sub-AD14,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD15,Pass,Pass,"Pass (double-checked, SUVR + header + repeat visual QC)",Pass
sub-AD16,Pass,Pass,"Pass (double-checked, SUVR + header + repeat visual QC)",Pass
sub-AD17,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD18,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD19,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD20,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD21,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD22,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD23,Not Attempted,Not Attempted,Not Attempted,Excluded - flagged pre-processing (see docs/flagged_subjects.md)
sub-AD24,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD25,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD26,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD27,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered via DICOM reconversion
sub-AD28,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD29,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered from write corruption after batch crash
sub-AD30,Pass,Pass,Pass (SUVR sanity check + header check),Pass - processed after batch crash/restart
sub-AD31,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD32,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD33,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD34,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD35,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered via DICOM reconversion
sub-AD36,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD37,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered via DICOM reconversion
sub-AD38,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD39,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD40,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD41,Pass,Pass,Pass (SUVR sanity check + header check),Pass - recovered via DICOM reconversion
sub-AD42,Pass,Pass,Pass (SUVR sanity check + header check),Pass
sub-AD43,Pass,Pass,Pass (SUVR sanity check + header check),Pass
